Ref.,Limits of Potential Window (V),Lower Limit of Potential Window (V),Upper Limit of Potential Window (V),Potential Window (V),Current Density (A/g),Capacitance (F/g),Specific Surface Area (m^2/g),Charge Transfer Resistance (Rct) (ohm),Equivalent Series Resistance (Rs) (ohm),Electrode Configuration,Pore Size (nm),Pore Volume (cm^3/g),Ratio of ID/IG,N at%,C at%,O at%,Electrolyte Chemical Formula,Electrolyte Ionic Conductivity,Electrolyte Concentration (M),Cell Configuration (three/two electrode system)
DOI: 10.1021/acsami.6b00225,-1.0 to 0,-1,0,1,5,201,,,,Fe2O3 NDs@NG-0.75,,,,,,,KOH,6,2,three-electrode system
DOI: 10.1021/acsami.6b00225,-1.0 to 0,-1,0,1,8,187,,,,Fe2O3 NDs@NG-0.75,,,,,,,KOH,6,2,three-electrode system
DOI: 10.1021/acsami.6b00225,-1.0 to 0,-1,0,1,10,181,,,,Fe2O3 NDs@NG-0.75,,,,,,,KOH,6,2,three-electrode system
DOI: 10.1021/acsami.6b00225,-1.0 to 0,-1,0,1,20,168,,,,Fe2O3 NDs@NG-0.75,,,,,,,KOH,6,2,three-electrode system
DOI: 10.1021/acsami.6b00225,-1.0 to 0,-1,0,1,50,140,,,,Fe2O3 NDs@NG-0.75,,,,,,,KOH,6,2,three-electrode system
DOI: 10.1021/acsami.6b01965,-0.2 to 0.8,-0.2,0.8,0.8,,,151.3,,,rGO/PANI (63.5 wt%),,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/acsami.6b05779,0 to 0.8,0,0.8,0.8,1,286,,,7.50,blade-rGO,,,,6.2,86,13.8,H2SO4,7,1,two-electrode system
DOI: 10.1021/acsami.6b05779,0 to 0.8,0,0.8,0.8,1,100,,,17.50,spray-rGO,,,,3.4,77,22.9,H2SO4,7,1,two-electrode system
DOI: 10.1021/acsami.6b11290,-0.6 to 0.1,-0.6,0.1,0.7,1,416,80,,,rGO-moS2-co,,,0.97,0,54.9,15.6,NaCl,1,1,three-electrode system
DOI: 10.1021/acsami.6b11290,-0.6 to 0.1,-0.6,0.1,0.7,1,69.3,,,,rGO-moS2-p,,,,0,86,10.9,NaCl,1,1,three-electrode system
DOI: 10.1021/acsami.6b11290,-0.6 to 0.1,-0.6,0.1,0.7,1,118,50,,,rGO-moO2,,,,0,76.9,18,NaCl,1,1,three-electrode system
DOI: 10.1021/acsami.6b11290,-0.6 to 0.1,-0.6,0.1,0.7,1,38.5,,,,rGO,,,0.81,0,81.4,18.6,NaCl,1,1,three-electrode system
DOI: 10.1021/acsami.6b11316,0 to 0.5,0,0.5,0.5,1,782,,,,LG,,,,0,39.12,43.32,KOH,6,6,three-electrode system
DOI: 10.1021/acsami.6b11316,0 to 0.5,0,0.5,0.5,1,1222,,,,CoAl-LDH/FGN (LFG-12),,,,0,40.14,42.07,KOH,6,6,three-electrode system
DOI: 10.1021/acsami.6b11316,0 to 0.5,0,0.5,0.5,1,1028,,,,LFG-18,,,,0,41.26,41.03,KOH,6,6,three-electrode system
DOI: 10.1021/acsami.6b11316,0 to 0.5,0,0.5,0.5,1,894,,,,LFG-24,,,,0,42.31,40.19,KOH,6,6,three-electrode system
DOI: 10.1021/acsami.6b13050,0 to 0.8,0,0.8,0.8,0.2,253.8,642,,,mesoporous plasma-reduced graphene oxide web (mPrGO web),,,0.77,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/acsami.6b13050,0 to 0.8,0,0.8,0.8,0.5,213.3,642,,,mesoporous plasma-reduced graphene oxide web (mPrGO web),,,0.77,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/acsami.6b13050,0 to 0.8,0,0.8,0.8,1,197.1,642,,,mesoporous plasma-reduced graphene oxide web (mPrGO web),,,0.77,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/acsami.6b13050,0 to 0.8,0,0.8,0.8,3,192,642,,,mesoporous plasma-reduced graphene oxide web (mPrGO web),,,0.77,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/acsami.6b13050,0 to 0.8,0,0.8,0.8,5,193.3,642,24.20,2.00,mesoporous plasma-reduced graphene oxide web (mPrGO web),3,,0.77,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/acsami.6b13050,0 to 0.8,0,0.8,0.8,0.2,51.7,18,,,hydrazine reduced graphene oxide web (HrGO web),,,1.06,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/acsami.6b14704,-1 to 0.4,-1,0.4,1.4,3.6,455,,4,,Fe3O4/rGO,,,0.537,0,93.2,3.08,KOH,6,2,three-electrode system
DOI: 10.1021/acsami.6b14704,-1 to 0.4,-1,0.4,1.4,3.8,376,,4,,Fe3O4/rGO,,,0.537,0,93.2,3.08,KOH,6,2,three-electrode system
DOI: 10.1021/acsami.6b14704,-1 to 0.4,-1,0.4,1.4,4,320,,4,,Fe3O4/rGO,,,0.537,0,93.2,3.08,KOH,6,2,three-electrode system
DOI: 10.1021/acsami.6b14704,-1 to 0.4,-1,0.4,1.4,4.4,297,,4,,Fe3O4/rGO,,,0.537,0,93.2,3.08,KOH,6,2,three-electrode system
DOI: 10.1021/acsami.7b05965,0 to 0.8,0,0.8,0.8,1,425,,,,N-doped rGO Films (F3),,,,6.7,79.6,13.7,H2SO4,7,1,three-electrode system
DOI: 10.1021/acsami.7b05965,0 to 0.8,0,0.8,0.8,20,315,,,,N-doped rGO Films (F3),,,,6.7,79.6,13.7,H2SO4,7,1,three-electrode system
DOI: 10.1021/acsami.7b05965,0 to 1.6,0,1.6,1.6,5,385,,,,N-doped rGO Films (F3),,,,6.7,79.6,13.7,H2SO4,7,1,two-electrode system
DOI: 10.1021/acsami.7b05965,0 to 0.8,0,0.8,0.8,1,290,,,,N-doped rGO Films (F2),,,,3.2,84,12.8,H2SO4,7,1,three-electrode system
DOI: 10.1021/acsami.7b05965,0 to 0.8,0,0.8,0.8,20,203,,,,N-doped rGO Films (F2),,,,3.2,84,12.8,H2SO4,7,1,three-electrode system
DOI: 10.1021/acsami.7b05965,0 to 0.8,0,0.8,0.8,1,225,,,,N-doped rGO Films (F1),,,,2.3,81.3,16.4,H2SO4,7,1,three-electrode system
DOI: 10.1021/acsami.7b05965,0 to 0.8,0,0.8,0.8,20,134,,,,N-doped rGO Films (F1),,,,2.3,81.3,16.4,H2SO4,7,1,three-electrode system
DOI: 10.1021/acsami.7b18853,0 to 1,0,1,1,0.25,104.4,,,,RGO/HxPOy,,,,,,28.05,H3PO4,,1,two-electrode system
DOI: 10.1021/acsami.7b18853,0 to 1,0,1,1,50,65,,,,RGO/HxPOy,,,,,,28.05,H3PO4,,1,two-electrode system
DOI: 10.1021/acsami.8b00323,-1 to 0,-1,0,1,1,296.7,,,4.00,Graphene quantum dots (GQDs),1.94,,1.01,,,,KOH,6,2,two-electrode system
DOI: 10.1021/acsami.8b00323,-1 to 0,-1,0,1,2,261.4,,,4.00,Graphene quantum dots (GQDs),1.94,,1.01,,,,KOH,6,2,two-electrode system
DOI: 10.1021/acsami.8b00323,-1 to 0,-1,0,1,3,240.3,,,4.00,Graphene quantum dots (GQDs),1.94,,1.01,,,,KOH,6,2,two-electrode system
DOI: 10.1021/acsami.8b00323,-1 to 0,-1,0,1,5,217.2,,,4.00,Graphene quantum dots (GQDs),1.94,,1.01,,,,KOH,6,2,two-electrode system
DOI: 10.1021/acsami.8b00323,-1 to 0,-1,0,1,10,182.5,,,4.00,Graphene quantum dots (GQDs),1.94,,1.01,,,,KOH,6,2,two-electrode system
DOI: 10.1021/acsami.8b00323,-1 to 0,-1,0,1,20,160.3,,,4.00,Graphene quantum dots (GQDs),1.94,,1.01,,,,KOH,6,2,two-electrode system
DOI: 10.1021/acsami.8b02354,0 to 1,0,1,1,1,200.6,,,,mnO2/GH,,,1.37,,,,Na2SO4,3,1,three-electrode system
DOI: 10.1021/acsami.8b02354,0 to 1,0,1,1,1,113,,,,Graphene hydrogels (GHs),,,1.7,,,,Na2SO4,3,1,three-electrode system
DOI: 10.1021/acsami.8b03901,0 to 1,0,1,1,1,152,,,,PPyNF film,,,,,,,Li2SO4,,1,two-electrode system
DOI: 10.1021/acsami.8b03901,0 to 1,0,1,1,1,156,,,,G-PPyNF2 film,,,,,,,Li2SO4,,1,two-electrode system
DOI: 10.1021/acsami.8b03901,0 to 1,0,1,1,1,130,,,,G-PPyNF1 film,,,,,,,Li2SO4,,1,two-electrode system
DOI: 10.1021/acsami.8b03901,0 to 1,0,1,1,0.5,161,,,,G-PPyNF2 film,,,,,,,Li2SO4,,1,two-electrode system
DOI: 10.1021/acsami.8b03901,0 to 1,0,1,1,8,128,,,,G-PPyNF2 film,,,,,,,Li2SO4,,1,two-electrode system
DOI: 10.1021/acsami.8b03901,0 to 1,0,1,1,0.5,169,,,,PPyNF film,,,,,,,Li2SO4,,1,two-electrode system
DOI: 10.1021/acsami.8b03901,0 to 1,0,1,1,8,96,,,,PPyNF film,,,,,,,Li2SO4,,1,two-electrode system
DOI: 10.1021/acsami.8b03901,0 to 1,0,1,1,0.5,136,,,,G-PPyNF1 film,,,,,,,Li2SO4,,1,two-electrode system
DOI: 10.1021/acsami.8b03901,0 to 1,0,1,1,8,128,,,,G-PPyNF1 film,,,,,,,Li2SO4,,1,two-electrode system
DOI: 10.1021/acsami.9b04649,-0.1 to 0.7,-0.1,0.7,0.8,0.5,230.2,,,,[Ag5(C2H2N3)6][H5 ⊂ Simo12O40] @15%GO-based,,,,,,,H2SO4,7,0.5,three-electrode system
DOI: 10.1021/acssuschemeng.5b01700,0 to 1,0,1,1,0.2,480,,,,mnOx-CDG,,,,,,,Na2SO4,3,1,two-electrode system
DOI: 10.1021/acssuschemeng.6b01367,-0.2 to 0.4,-0.2,0.4,0.6,3,1256,,,0.58,Ternary ZnCo2O4/reduced graphene oxide/NiO (ZCGNO),,,1.1,0,18.45,44.31,KOH,6,6,three-electrode system
DOI: 10.1021/acssuschemeng.6b01367,-0.2 to 0.4,-0.2,0.4,0.6,5,1115,,,0.58,Ternary ZnCo2O4/reduced graphene oxide/NiO (ZCGNO),,,1.1,0,18.45,44.31,KOH,6,6,three-electrode system
DOI: 10.1021/acssuschemeng.6b01367,-0.2 to 0.4,-0.2,0.4,0.6,10,716.6,,,0.58,Ternary ZnCo2O4/reduced graphene oxide/NiO (ZCGNO),,,1.1,0,18.45,44.31,KOH,6,6,three-electrode system
DOI: 10.1021/acssuschemeng.6b01367,-0.2 to 0.4,-0.2,0.4,0.6,15,685,,,0.58,Ternary ZnCo2O4/reduced graphene oxide/NiO (ZCGNO),,,1.1,0,18.45,44.31,KOH,6,6,three-electrode system
DOI: 10.1021/acssuschemeng.6b01367,-0.2 to 0.4,-0.2,0.4,0.6,25,666.6,,,0.58,Ternary ZnCo2O4/reduced graphene oxide/NiO (ZCGNO),,,1.1,0,18.45,44.31,KOH,6,6,three-electrode system
DOI: 10.1021/acssuschemeng.6b01367,-0.2 to 0.4,-0.2,0.4,0.6,3,485,,,0.58,Ternary ZnCo2O4/reduced graphene oxide/NiO (ZCGNO),,,1.1,0,18.45,44.31,KOH,6,1,three-electrode system
DOI: 10.1021/acssuschemeng.6b01367,-0.2 to 0.4,-0.2,0.4,0.6,5,458,,,0.58,Ternary ZnCo2O4/reduced graphene oxide/NiO (ZCGNO),,,1.1,0,18.45,44.31,KOH,6,1,three-electrode system
DOI: 10.1021/acssuschemeng.6b01367,-0.2 to 0.4,-0.2,0.4,0.6,10,433,,,0.58,Ternary ZnCo2O4/reduced graphene oxide/NiO (ZCGNO),,,1.1,0,18.45,44.31,KOH,6,1,three-electrode system
DOI: 10.1021/acssuschemeng.6b01367,-0.2 to 0.4,-0.2,0.4,0.6,15,350,,,0.58,Ternary ZnCo2O4/reduced graphene oxide/NiO (ZCGNO),,,1.1,0,18.45,44.31,KOH,6,1,three-electrode system
DOI: 10.1021/acssuschemeng.6b01367,-0.2 to 0.4,-0.2,0.4,0.6,25,291.6,,,0.58,Ternary ZnCo2O4/reduced graphene oxide/NiO (ZCGNO),,,1.1,0,18.45,44.31,KOH,6,1,three-electrode system
DOI: 10.1021/acssuschemeng.7b00747,0 to 2,0,2,2,1,,1519,,,Starch/RGO,2,0.75,,,,,LiCl/PVA gel,,,two-electrode system
DOI: 10.1021/acssuschemeng.7b01074,0 to 0.8,0,0.8,0.8,1,101.5,479.1543,,,AC,,,,,,,Na2SO4,3,1,three-electrode system
DOI: 10.1021/acssuschemeng.7b01074,0 to 0.8,0,0.8,0.8,5,70.1,479.1543,,,AC,,,,,,,Na2SO4,3,1,three-electrode system
DOI: 10.1021/acssuschemeng.7b03814,-0.1 to 0.7,-0.1,0.7,0.8,0.5,326.6,46,0.50,1.10,PYT-NH2/rGO,7.5,0.17,1.11,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/acssuschemeng.7b03814,-0.1 to 0.7,-0.1,0.7,0.8,1.5,272.9,46,0.50,1.10,PYT-NH2/rGO,7.5,0.17,1.11,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/acssuschemeng.7b03814,-0.1 to 0.7,-0.1,0.7,0.8,2,262.5,46,0.50,1.10,PYT-NH2/rGO,7.5,0.17,1.11,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/acssuschemeng.7b03814,-0.1 to 0.7,-0.1,0.7,0.8,3,252.8,46,0.50,1.10,PYT-NH2/rGO,7.5,0.17,1.11,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/acssuschemeng.7b03814,-0.1 to 0.7,-0.1,0.7,0.8,5,242,46,0.50,1.10,PYT-NH2/rGO,7.5,0.17,1.11,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/acssuschemeng.7b03814,-0.1 to 0.7,-0.1,0.7,0.8,10,218,46,0.50,1.10,PYT-NH2/rGO,7.5,0.17,1.11,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/acssuschemeng.7b03814,-0.1 to 0.7,-0.1,0.7,0.8,0.5,229.2,57,1.60,1.20,PYT-NH2/GO,9.4,0.22,0.91,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/acssuschemeng.7b03814,-0.1 to 0.7,-0.1,0.7,0.8,1.5,200,57,1.60,1.20,PYT-NH2/GO,9.4,0.22,0.91,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/acssuschemeng.7b03814,-0.1 to 0.7,-0.1,0.7,0.8,2,192.4,57,1.60,1.20,PYT-NH2/GO,9.4,0.22,0.91,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/acssuschemeng.7b03814,-0.1 to 0.7,-0.1,0.7,0.8,3,184.4,57,1.60,1.20,PYT-NH2/GO,9.4,0.22,0.91,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/acssuschemeng.7b03814,-0.1 to 0.7,-0.1,0.7,0.8,5,174.4,57,1.60,1.20,PYT-NH2/GO,9.4,0.22,0.91,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/acssuschemeng.7b03814,-0.1 to 0.7,-0.1,0.7,0.8,10,163.8,57,1.60,1.20,PYT-NH2/GO,9.4,0.22,0.91,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/acssuschemeng.8b05419,-1 to 0,-1,0,1,1,86,,,2.54,jute stick-derived nanoporous carbons (JC-NA),,,1.034,0,78,22,KOH,6,6,three-electrode system
DOI: 10.1021/acssuschemeng.8b05419,-1 to 0,-1,0,1,1,173,949,,1.78,jute stick-derived nanoporous carbons (JC 800),3.7,0.69,0.998,0,83,17,KOH,6,6,three-electrode system
DOI: 10.1021/acssuschemeng.8b05419,-1 to 0,-1,0,1,1,217,1706,,0.29,jute stick-derived nanoporous carbons (JC 900),3.8,1.2,0.557,0,87.5,12.5,KOH,6,6,three-electrode system
DOI: 10.1021/acssuschemeng.8b05419,-1 to 0,-1,0,1,1,226,2393,,0.20,jute stick-derived nanoporous carbons (JC 1000),3.4,1.6,0.18,0,96.5,3.5,KOH,6,6,three-electrode system
DOI: 10.1021/acssuschemeng.8b05419,-1 to 0,-1,0,1,0.5,282,2393,,0.20,jute stick-derived nanoporous carbons (JC 1000),3.4,1.6,0.18,0,96.5,3.5,KOH,6,6,three-electrode system
DOI: 10.1021/acssuschemeng.8b05419,-1 to 0,-1,0,1,1,145,,,,jute stick-derived nanoporous carbons (JC 1100),,,,,,,KOH,6,6,three-electrode system
DOI: 10.1021/acssuschemeng.9b02549,0 to 1,0,1,1,1,702,,,,Zn2SnO4/SnO2/CNT,,,,,,,KOH,6,6,two-electrode system
DOI: 10.1021/acssuschemeng.9b02549,0 to 1,0,1,1,10,260,,,,Zn2SnO4/SnO2/CNT,,,,,,,KOH,6,6,two-electrode system
DOI: 10.1021/acssuschemeng.9b04209,0 to 2.7,0,2.7,2.7,1,128.1,1816.4,,2.15,Ultrathin graphene-like porous carbon nano-sheets (GPCNS-3),2.49,1.16,,0.72,92.39,6.89,TEABF4/AN,8,1,two-electrode system
DOI: 10.1021/acssuschemeng.9b04209,0 to 2.7,0,2.7,2.7,2,127.4,1816.4,,2.15,Ultrathin graphene-like porous carbon nano-sheets (GPCNS-3),2.49,1.16,,0.72,92.39,6.89,TEABF4/AN,8,1,two-electrode system
DOI: 10.1021/acssuschemeng.9b04209,0 to 2.7,0,2.7,2.7,3,126,1816.4,,2.15,Ultrathin graphene-like porous carbon nano-sheets (GPCNS-3),2.49,1.16,,0.72,92.39,6.89,TEABF4/AN,8,1,two-electrode system
DOI: 10.1021/acssuschemeng.9b04209,0 to 2.7,0,2.7,2.7,4,124.7,1816.4,,2.15,Ultrathin graphene-like porous carbon nano-sheets (GPCNS-3),2.49,1.16,,0.72,92.39,6.89,TEABF4/AN,8,1,two-electrode system
DOI: 10.1021/acssuschemeng.9b04209,0 to 2.7,0,2.7,2.7,5,123.7,1816.4,,2.15,Ultrathin graphene-like porous carbon nano-sheets (GPCNS-3),2.49,1.16,,0.72,92.39,6.89,TEABF4/AN,8,1,two-electrode system
DOI: 10.1021/acssuschemeng.9b04209,0 to 2.7,0,2.7,2.7,10,120,1816.4,,2.15,Ultrathin graphene-like porous carbon nano-sheets (GPCNS-3),2.49,1.16,,0.72,92.39,6.89,TEABF4/AN,8,1,two-electrode system
DOI: 10.1021/acssuschemeng.9b04209,0 to 2.7,0,2.7,2.7,20,111.1,1816.4,,2.15,Ultrathin graphene-like porous carbon nano-sheets (GPCNS-3),2.49,1.16,,0.72,92.39,6.89,TEABF4/AN,8,1,two-electrode system
DOI: 10.1021/acssuschemeng.9b04209,0 to 2.7,0,2.7,2.7,30,104.4,1816.4,,2.15,Ultrathin graphene-like porous carbon nano-sheets (GPCNS-3),2.49,1.16,,0.72,92.39,6.89,TEABF4/AN,8,1,two-electrode system
DOI: 10.1021/acssuschemeng.9b04209,0 to 2.7,0,2.7,2.7,40,97.8,1816.4,,2.15,Ultrathin graphene-like porous carbon nano-sheets (GPCNS-3),2.49,1.16,,0.72,92.39,6.89,TEABF4/AN,8,1,two-electrode system
DOI: 10.1021/am100343a,0 to 1,0,1,1,,,,,,Large sized graphene nanosheets,,,,0.59,95.7,3.71,KOH,6,6,two-electrode system
DOI: 10.1021/am100343a,0 to 1,0,1,1,,,550,,, Small sized graphene nanosheets ,,,,1.21,92.47,6.32,KOH,6,6,two-electrode system
DOI: 10.1021/am100343a,0 to 1,0,1,1,30,36,,,,multilayer graphene nanosheet film,,,,,,,KOH,6,6,two-electrode system
DOI: 10.1021/am100343a,0 to 1,0,1,1,10,80,,,,multilayer graphene nanosheet film,,,,,,,KOH,6,6,two-electrode system
DOI: 10.1021/am2016848,0 to 0.9,0,0.9,0.9,5,105,,,,mnC/RGO (mnC-G37),,,,,,,Na2SO4,3,1,three-electrode system
DOI: 10.1021/am2016848,0 to 0.9,0,0.9,0.9,0.2,193,,,,mnC/RGO (mnC-G37),,,,,,,Na2SO4,3,1,three-electrode system
DOI: 10.1021/am2016848,0 to 0.9,0,0.9,0.9,5,53,,,,CNT-G,,,,,,,Na2SO4,3,1,three-electrode system
DOI: 10.1021/am2016848,0 to 0.9,0,0.9,0.9,0.2,69,,,,CNT-G,,,,,,,Na2SO4,3,1,three-electrode system
DOI: 10.1021/am302000z,-0.2 to 0.8,-0.2,0.8,1,0.3,33,47,,,multiwalled carbon nanotubes (mWCNTs),,,,,,,KOH,6,1,three-electrode system
DOI: 10.1021/am302000z,-0.2 to 0.8,-0.2,0.8,1,0.3,256,85,,,CGN,,,,,,,KOH,6,1,three-electrode system
DOI: 10.1021/am400001g,0 to 1,0,1,1,1,245,1088,,,CNCs-700,14.3,2.35,0.91,,,,KOH,6,6,two-electrode system
DOI: 10.1021/am400001g,0 to 1,0,1,1,1,248,1001,,0.31,CNCs-800,14.5,2.34,0.78,,,,KOH,6,6,two-electrode system
DOI: 10.1021/am400001g,0 to 1,0,1,1,10,217,1001,,0.31,CNCs-800,14.5,2.34,0.78,,,,KOH,6,6,two-electrode system
DOI: 10.1021/am400001g,0 to 1,0,1,1,100,189,1001,,0.31,CNCs-800,14.5,2.34,0.78,,,,KOH,6,6,two-electrode system
DOI: 10.1021/am400001g,-0.2 to 0.8,-0.2,0.8,1,1,262,1001,,0.31,CNCs-800,14.5,2.34,0.78,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/am400001g,0 to 1,0,1,1,1,232,769,,,CNCs-900,14,2.01,0.63,,,,KOH,6,6,two-electrode system
DOI: 10.1021/am4001634,-0.2 to 0.8,-0.2,0.8,1,0.1,257,891,,0.50,Graphene/PANI,,,,2.34,89.6,7.9,H2SO4,7,1,three-electrode system
DOI: 10.1021/am4001634,-0.2 to 0.8,-0.2,0.8,1,1,213,891,,0.50,Graphene/PANI,,,,2.34,89.6,7.9,H2SO4,7,1,three-electrode system
DOI: 10.1021/am4001634,-0.2 to 0.8,-0.2,0.8,1,10,145,891,,0.50,Graphene/PANI,,,,2.34,89.6,7.9,H2SO4,7,1,three-electrode system
DOI: 10.1021/am4003827,0 to 0.8,0,0.8,0.8,1,614,,,,PANI-HS36@ERGO,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/am4003827,0 to 0.8,0,0.8,0.8,1,394,,,,PANI-HS36,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/am4003827,0 to 0.8,0,0.8,0.8,1,93,,,,ERGO,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/am401458,-1 to 0,-1,0,1,2,366,,,,graphene aerogel-nickel foam (GA@NF),,,,,,,KOH,6,6,three-electrode system
DOI: 10.1021/am401458,-1 to 0,-1,0,1,20,186,,,,graphene aerogel-nickel foam (GA@NF),,,,,,,KOH,6,6,three-electrode system
DOI: 10.1021/am401458,-1 to 0,-1,0,1,2,207,,,,GCA@NF,,,,,,,KOH,6,6,three-electrode system
DOI: 10.1021/am401458,-1 to 0,-1,0,1,20,142,,,,GCA@NF,,,,,,,KOH,6,6,three-electrode system
DOI: 10.1021/am403663f,-0.1 to 0.9,-0.1,0.9,1,0.5,350,,,,WS2/RGO,,,,,,,Na2SO4,3,1,two-electrode system
DOI: 10.1021/am404691w,0 to 0.4,0,0.4,0.4,2,425,,,,NiO/UDG/NF,,,,,,,KOH,6,5,three-electrode system
DOI: 10.1021/am404691w,0 to 0.4,0,0.4,0.4,4,410,,,,NiO/UDG/NF,,,,,,,KOH,6,5,three-electrode system
DOI: 10.1021/am404691w,0 to 0.4,0,0.4,0.4,6,390,,,,NiO/UDG/NF,,,,,,,KOH,6,5,three-electrode system
DOI: 10.1021/am404691w,0 to 0.4,0,0.4,0.4,10,300,,,,NiO/UDG/NF,,,,,,,KOH,6,5,three-electrode system
DOI: 10.1021/am501362g,-1 to 0,-1,0,1,1,401,903,,,GN-CNT,,,1.51,,,,KOH,6,6,three-electrode system
DOI: 10.1021/am501362g,-1 to 0,-1,0,1,10,271,903,,,GN-CNT,,,1.51,,,,KOH,6,6,three-electrode system
DOI: 10.1021/am5014375,0 to 0.5,0,0.5,0.5,2,1985,147,,,nickel hydroxide- manganese dioxide-reduced graphene oxide (Ni(OH)2- mnO2-RGO),,,,,,,KOH,6,1,three-electrode system
DOI: 10.1021/am5014375,0 to 0.5,0,0.5,0.5,3,1736,147,,,nickel hydroxide- manganese dioxide-reduced graphene oxide (Ni(OH)2- mnO2-RGO),,,,,,,KOH,6,1,three-electrode system
DOI: 10.1021/am5014375,0 to 0.5,0,0.5,0.5,4,1501,147,,,nickel hydroxide- manganese dioxide-reduced graphene oxide (Ni(OH)2- mnO2-RGO),,,,,,,KOH,6,1,three-electrode system
DOI: 10.1021/am5014375,0 to 0.5,0,0.5,0.5,6,1062,147,,,nickel hydroxide- manganese dioxide-reduced graphene oxide (Ni(OH)2- mnO2-RGO),,,,,,,KOH,6,1,three-electrode system
DOI: 10.1021/am5014375,0 to 0.5,0,0.5,0.5,8,724,147,,,nickel hydroxide- manganese dioxide-reduced graphene oxide (Ni(OH)2- mnO2-RGO),,,,,,,KOH,6,1,three-electrode system
DOI: 10.1021/am5021028,-0.2 to 0.8,-0.2,0.8,1,0.5,195.5,,,,CSS/G/PEDOT/mnO2 (active materials mass loading: 3.3 mg),,,,,,,Na2SO4,3,0.5,three-electrode system
DOI: 10.1021/am5021028,-0.2 to 0.8,-0.2,0.8,1,10,51,,,,CSS/G/PEDOT/mnO2 (active materials mass loading: 3.3 mg),,,,,,,Na2SO4,3,0.5,three-electrode system
DOI: 10.1021/am5021028,-0.2 to 0.8,-0.2,0.8,1,0.5,143.7,,,,CSS/ G/PEDOT,,,,,,,Na2SO4,3,0.5,three-electrode system
DOI: 10.1021/am5021028,-0.2 to 0.8,-0.2,0.8,1,10,88,,,,CSS/G/PEDOT electrode (active mass loading: 2.3 mg),,,,,,,Na2SO4,3,0.5,three-electrode system
DOI: 10.1021/am5024258,-0.9 to 1.3,-0.9,1.3,2.2,,,218,,,3D graphene/mnO2-60,,,,,,,,,,
DOI: 10.1021/am505533c,0 to 0.8,0,0.8,0.8,1,2136,,,,PANI-coated graphite,,,,,,,H2SO4,7,6,three-electrode system
DOI: 10.1021/am505533c,0 to 0.8,0,0.8,0.8,20,425,,,,PANI-coated graphite,,,,,,,H2SO4,7,6,three-electrode system
DOI: 10.1021/am505533c,0 to 0.8,0,0.8,0.8,1,1938,,,,PANI-coated graphite,,,,,,,H2SO4,7,3,three-electrode system
DOI: 10.1021/am505533c,0 to 0.8,0,0.8,0.8,20,150,,,,PANI-coated graphite,,,,,,,H2SO4,7,3,three-electrode system
DOI: 10.1021/am505533c,0 to 0.8,0,0.8,0.8,1,1788,,,,PANI-coated graphite,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/am505533c,0 to 0.8,0,0.8,0.8,20,75,,,,PANI-coated graphite,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/sc400055,-0.2 to 0.5,-0.2,0.5,0.7,2,532,,,,CT-Co(OH)2/graphene,,,,,,,KOH,6,6,three-electrode system
DOI: 10.1021/sc400055,-0.2 to 0.5,-0.2,0.5,0.7,6,449,,,,CT-Co(OH)2/graphene,,,,,,,KOH,6,6,three-electrode system
DOI: 10.1021/sc400055,-0.2 to 0.5,-0.2,0.5,0.7,8,395,,,,CT-Co(OH)2/graphene,,,,,,,KOH,6,6,three-electrode system
DOI: 10.1021/sc400055,-0.2 to 0.5,-0.2,0.5,0.7,10,357,,,,CT-Co(OH)2/graphene,,,,,,,KOH,6,6,three-electrode system
DOI: 10.1021/sc5006999,0 to 0.8,0,0.8,0.8,0.5,682.75,,,,G@PANI@G,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/sc5006999,0 to 0.8,0,0.8,0.8,10,319.24,,,,G@PANI@G,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/sc5006999,0 to 0.8,0,0.8,0.8,20,217.11,,,,G@PANI@G,,,,,,,H2SO4,7,1,three-electrode system
